# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_upstream_gene_variant
FAM166AP5	ENSG00000278180	ENST00000611115	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM167B	ENSG00000183615	ENST00000373582	protein_coding	0	0	0	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	10
FAM177B	ENSG00000197520	ENST00000360827	protein_coding	0	0	0	12	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	3
FAM177B	ENSG00000197520	ENST00000391880	nonsense_mediated_decay	0	0	0	12	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	3
FAM177B	ENSG00000197520	ENST00000434700	protein_coding	0	0	0	12	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	3
FAM177B	ENSG00000197520	ENST00000445590	protein_coding	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5
FAM177B	ENSG00000197520	ENST00000456298	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	1
FAM177B	ENSG00000197520	ENST00000460763	retained_intron	0	0	0	9	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	1
FAM183A	ENSG00000186973	ENST00000335282	protein_coding	0	0	0	8	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4
FAM183A	ENSG00000186973	ENST00000409337	processed_transcript	0	0	0	8	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4
FAM183A	ENSG00000186973	ENST00000409396	protein_coding	0	0	0	8	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4
FAM183A	ENSG00000186973	ENST00000410025	nonsense_mediated_decay	0	0	0	8	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4
FAM183A	ENSG00000186973	ENST00000410048	protein_coding	0	0	0	14	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	7
FAM183A	ENSG00000186973	ENST00000481753	retained_intron	0	0	0	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
FAM189B	ENSG00000160767	ENST00000350210	protein_coding	0	1	0	18	2	0	0	0	0	0	2	0	6	0	0	0	0	1	0	0	0	0	9
FAM189B	ENSG00000160767	ENST00000361361	protein_coding	0	1	0	18	2	0	0	0	0	0	2	0	6	0	0	0	0	1	0	0	0	0	9
FAM189B	ENSG00000160767	ENST00000368366	retained_intron	0	1	0	9	0	0	0	0	0	0	2	0	6	2	0	0	0	1	0	0	0	0	0
FAM189B	ENSG00000160767	ENST00000368368	protein_coding	0	1	0	18	2	0	0	0	0	0	2	0	6	0	0	0	0	1	0	0	0	0	9
FAM189B	ENSG00000160767	ENST00000472550	processed_transcript	0	0	0	17	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	9
FAM189B	ENSG00000160767	ENST00000481822	retained_intron	0	0	0	15	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	9
FAM189B	ENSG00000160767	ENST00000487649	nonsense_mediated_decay	0	1	0	20	2	0	0	0	0	0	2	0	6	2	0	0	0	1	0	0	0	0	9
FAM189B	ENSG00000160767	ENST00000491082	protein_coding	0	1	0	16	0	0	0	0	0	0	2	0	6	0	0	0	0	1	0	0	0	0	9
FAM189B	ENSG00000160767	ENST00000497941	retained_intron	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
FAM189B	ENSG00000160767	ENST00000621094	protein_coding	0	0	0	19	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	9
FAM19A3	ENSG00000184599	ENST00000361886	protein_coding	0	0	0	5	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1
FAM19A3	ENSG00000184599	ENST00000369630	protein_coding	1	0	0	4	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1
FAM204BP	ENSG00000233040	ENST00000369171	processed_pseudogene	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
FAM20B	ENSG00000116199	ENST00000263733	protein_coding	0	0	0	21	2	0	0	0	0	0	4	0	15	0	0	0	0	0	0	0	0	0	0
FAM20B	ENSG00000116199	ENST00000440702	protein_coding	0	0	0	12	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0
FAM212B	ENSG00000197852	ENST00000357260	protein_coding	0	0	0	29	10	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	3
FAM212B	ENSG00000197852	ENST00000412270	processed_transcript	0	0	0	13	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	4
FAM212B	ENSG00000197852	ENST00000444059	protein_coding	0	0	0	35	0	0	0	0	0	0	11	0	20	0	0	0	0	0	0	0	0	0	4
FAM212B	ENSG00000197852	ENST00000527570	processed_transcript	0	0	0	48	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	3
FAM212B	ENSG00000197852	ENST00000527621	protein_coding	0	0	0	21	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	3
FAM212B	ENSG00000197852	ENST00000527660	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
FAM212B	ENSG00000197852	ENST00000534365	protein_coding	0	0	0	29	0	0	0	0	0	0	8	0	18	0	0	0	0	0	0	0	0	0	3
FAM212B	ENSG00000197852	ENST00000625113	TEC	0	0	0	13	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	4
FAM212B-AS1	ENSG00000227811	ENST00000430373	antisense	0	0	0	8	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	1
FAM212B-AS1	ENSG00000227811	ENST00000524935	antisense	0	0	0	8	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000378424	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000378425	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000378427	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000419916	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000444521	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000464043	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000465233	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000474659	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000476686	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM213B	ENSG00000157870	ENST00000477045	retained_intron	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000481683	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000484099	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000493183	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000498083	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM213B	ENSG00000157870	ENST00000537325	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM229A	ENSG00000225828	ENST00000415596	processed_transcript	0	0	0	13	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	4
FAM229A	ENSG00000225828	ENST00000416512	retained_intron	0	0	0	13	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	4
FAM229A	ENSG00000225828	ENST00000428500	protein_coding	0	0	0	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5
FAM229A	ENSG00000225828	ENST00000432622	protein_coding	0	0	0	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5
FAM231A	ENSG00000237847	ENST00000434336	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
FAM231B	ENSG00000268991	ENST00000600179	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2
FAM231C	ENSG00000279132	ENST00000624031	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM231D	ENSG00000272058	ENST00000607157	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM41C	ENSG00000230368	ENST00000427857	lincRNA	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3
FAM41C	ENSG00000230368	ENST00000432963	lincRNA	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
FAM41C	ENSG00000230368	ENST00000446136	lincRNA	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3
FAM43B	ENSG00000183114	ENST00000332947	protein_coding	0	0	0	13	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4
FAM46B	ENSG00000158246	ENST00000289166	protein_coding	0	0	0	8	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	3
FAM46C	ENSG00000183508	ENST00000369448	protein_coding	0	0	0	26	14	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0
FAM58BP	ENSG00000233827	ENST00000439056	processed_pseudogene	0	0	0	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5
FAM63A	ENSG00000143409	ENST00000312210	protein_coding	0	0	0	6	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2
FAM63A	ENSG00000143409	ENST00000361738	protein_coding	0	0	0	7	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	3
FAM63A	ENSG00000143409	ENST00000361936	protein_coding	0	0	0	7	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3
FAM63A	ENSG00000143409	ENST00000470877	processed_transcript	0	0	0	5	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2
FAM63A	ENSG00000143409	ENST00000493834	protein_coding	0	0	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1
FAM63A	ENSG00000143409	ENST00000497067	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
FAM63A	ENSG00000143409	ENST00000622754	protein_coding	0	0	0	5	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1
FAM69A	ENSG00000154511	ENST00000370310	protein_coding	0	0	0	56	3	1	0	0	0	0	8	0	43	0	0	0	0	0	0	0	0	0	1
FAM69A	ENSG00000154511	ENST00000613047	protein_coding	0	0	0	29	3	0	0	0	0	0	8	0	17	0	0	0	0	0	0	0	0	0	1
FAM69A	ENSG00000154511	ENST00000613902	protein_coding	0	0	0	56	3	1	0	0	0	0	8	0	43	0	0	0	0	0	0	0	0	0	1
FAM69A	ENSG00000154511	ENST00000615519	protein_coding	0	0	0	66	0	1	0	0	0	0	10	0	54	0	0	0	0	0	0	0	0	0	1
FAM69A	ENSG00000154511	ENST00000616709	protein_coding	0	0	0	56	3	1	0	0	0	0	8	0	43	0	0	0	0	0	0	0	0	0	1
FAM71A	ENSG00000162771	ENST00000294829	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM72A	ENSG00000196550	ENST00000341209	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM72A	ENSG00000196550	ENST00000367128	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM72A	ENSG00000196550	ENST00000367129	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM72A	ENSG00000196550	ENST00000431655	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM72A	ENSG00000196550	ENST00000470041	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM72A	ENSG00000196550	ENST00000481737	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FAM72B	ENSG00000188610	ENST00000355228	protein_coding	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
FAM72B	ENSG00000188610	ENST00000369390	protein_coding	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
FAM72B	ENSG00000188610	ENST00000452190	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
FAM72B	ENSG00000188610	ENST00000468129	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
FAM72B	ENSG00000188610	ENST00000471903	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
FAM72B	ENSG00000188610	ENST00000619376	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
FAM72C	ENSG00000263513	ENST00000369175	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM72C	ENSG00000263513	ENST00000584486	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM76A	ENSG00000009780	ENST00000010299	protein_coding	1	0	0	33	0	0	0	0	0	0	8	1	18	0	0	0	0	0	0	0	0	0	7
FAM76A	ENSG00000009780	ENST00000234549	protein_coding	1	0	0	33	0	0	0	0	0	0	8	1	18	0	0	0	0	0	0	0	0	0	7
FAM76A	ENSG00000009780	ENST00000373949	protein_coding	0	0	0	36	7	0	0	0	0	0	3	0	19	0	0	0	0	0	0	0	0	0	7
FAM76A	ENSG00000009780	ENST00000373954	protein_coding	0	0	0	36	7	0	0	0	0	0	3	0	19	0	0	0	0	0	0	0	0	0	7
FAM76A	ENSG00000009780	ENST00000419687	protein_coding	0	0	0	34	7	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	7
FAM76A	ENSG00000009780	ENST00000446647	protein_coding	0	0	0	17	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	5
FAM76A	ENSG00000009780	ENST00000530324	protein_coding	0	0	0	34	0	0	0	0	0	0	10	0	17	0	0	0	0	0	0	0	0	0	7
FAM78B	ENSG00000188859	ENST00000338353	protein_coding	0	0	0	33	0	0	0	0	0	0	3	0	29	0	0	0	0	0	0	0	0	0	1
FAM78B	ENSG00000188859	ENST00000354422	protein_coding	0	0	0	33	0	0	0	0	0	0	3	0	29	0	0	0	0	0	0	0	0	0	1
FAM78B	ENSG00000188859	ENST00000435676	nonsense_mediated_decay	0	0	0	41	2	0	0	0	0	0	4	0	32	2	0	0	0	0	0	0	0	0	1
FAM78B	ENSG00000188859	ENST00000441649	nonsense_mediated_decay	0	0	0	37	0	0	0	0	0	0	4	0	32	0	0	0	0	0	0	0	0	0	1
FAM78B	ENSG00000188859	ENST00000456900	nonsense_mediated_decay	0	0	0	37	0	0	0	0	0	0	4	0	32	0	0	0	0	0	0	0	0	0	1
FAM87B	ENSG00000177757	ENST00000326734	lincRNA	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
FAM89A	ENSG00000182118	ENST00000366654	protein_coding	0	0	0	28	2	0	0	0	0	0	5	0	16	0	0	0	0	0	0	0	0	0	5
FAM89A	ENSG00000182118	ENST00000408363	miRNA	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8
FAM89A	ENSG00000182118	ENST00000466258	processed_transcript	0	0	0	19	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	4
FAM89A	ENSG00000182118	ENST00000494111	processed_transcript	0	5	0	12	0	0	0	0	0	0	2	0	11	2	0	0	0	5	0	0	0	0	2
FAM91A3P	ENSG00000242352	ENST00000456826	transcribed_processed_pseudogene	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
FAM96AP2	ENSG00000224566	ENST00000414727	processed_pseudogene	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
FASLG	ENSG00000117560	ENST00000340030	protein_coding	0	0	1	10	0	0	0	0	0	1	4	0	5	0	0	0	0	0	0	0	0	0	1
FASLG	ENSG00000117560	ENST00000367721	protein_coding	0	0	1	10	3	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	1
FBLIM1	ENSG00000162458	ENST00000332305	protein_coding	0	0	0	27	1	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	0	0	4
FBLIM1	ENSG00000162458	ENST00000375766	protein_coding	0	0	0	34	1	0	0	0	0	0	10	0	20	0	0	0	0	0	0	0	0	0	3
FBLIM1	ENSG00000162458	ENST00000375771	protein_coding	0	0	0	34	1	0	0	0	0	0	10	0	21	0	0	0	0	0	0	0	0	0	2
FBLIM1	ENSG00000162458	ENST00000430076	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	2
FBLIM1	ENSG00000162458	ENST00000431771	protein_coding	0	0	0	11	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	3
FBLIM1	ENSG00000162458	ENST00000441801	protein_coding	0	1	0	15	1	0	0	0	0	0	4	0	5	0	1	0	0	1	0	0	0	0	4
FBLIM1	ENSG00000162458	ENST00000483633	protein_coding	0	0	0	11	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	3
FBLIM1	ENSG00000162458	ENST00000496928	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	2
FBLIM1	ENSG00000162458	ENST00000502638	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	3
FBLIM1	ENSG00000162458	ENST00000502739	protein_coding	0	0	0	17	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	3
FBLIM1	ENSG00000162458	ENST00000508310	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	2
FBLIM1	ENSG00000162458	ENST00000509138	processed_transcript	0	0	0	19	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	4
FBLIM1	ENSG00000162458	ENST00000510393	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	2
FBLIM1	ENSG00000162458	ENST00000510929	protein_coding	0	0	0	9	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	3
FBLIM1	ENSG00000162458	ENST00000514156	processed_transcript	0	0	0	18	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	4
FBXO2	ENSG00000116661	ENST00000354287	protein_coding	0	0	1	12	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	7
FBXO2	ENSG00000116661	ENST00000465901	protein_coding	0	0	1	10	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	6
FBXO2	ENSG00000116661	ENST00000466919	retained_intron	0	0	0	10	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	6
FBXO2	ENSG00000116661	ENST00000471501	retained_intron	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
FBXO2	ENSG00000116661	ENST00000475961	processed_transcript	0	0	0	10	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	6
FBXO28	ENSG00000143756	ENST00000366862	protein_coding	0	2	0	77	4	0	0	0	0	0	2	0	68	0	0	0	0	2	0	0	0	0	5
FBXO28	ENSG00000143756	ENST00000424254	protein_coding	0	2	0	75	0	0	0	0	0	0	4	0	68	0	0	0	0	2	0	0	0	0	5
FBXO28	ENSG00000143756	ENST00000483773	retained_intron	0	2	0	32	0	0	0	0	0	0	3	0	26	0	0	0	0	2	0	0	0	0	5
FBXO28	ENSG00000143756	ENST00000519894	retained_intron	0	0	0	31	0	0	0	0	0	0	3	0	23	0	0	0	0	0	0	0	0	0	5
FBXO28	ENSG00000143756	ENST00000523990	nonsense_mediated_decay	0	1	0	77	1	0	0	0	0	0	3	0	68	1	0	0	0	1	0	0	0	0	5
FBXO42	ENSG00000037637	ENST00000375592	protein_coding	0	0	0	102	3	1	0	0	0	0	6	0	86	0	0	0	0	0	0	0	0	0	6
FBXO42	ENSG00000037637	ENST00000444116	protein_coding	0	0	0	11	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4
FBXO42	ENSG00000037637	ENST00000456164	protein_coding	0	0	0	11	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4
FBXO42	ENSG00000037637	ENST00000478089	processed_transcript	0	0	0	27	0	0	0	0	0	0	7	0	14	1	0	0	0	0	0	0	0	0	5
FBXO44	ENSG00000132879	ENST00000251546	protein_coding	0	0	0	18	1	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	3
FBXO44	ENSG00000132879	ENST00000251547	protein_coding	0	0	0	19	2	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	4
FBXO44	ENSG00000132879	ENST00000376760	protein_coding	0	0	0	17	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	4
FBXO44	ENSG00000132879	ENST00000376762	protein_coding	0	0	0	18	1	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	4
FBXO44	ENSG00000132879	ENST00000376768	protein_coding	0	0	0	18	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	4
FBXO44	ENSG00000132879	ENST00000376770	protein_coding	0	0	0	19	2	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	4
FBXO44	ENSG00000132879	ENST00000425796	protein_coding	0	0	0	13	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	4
FBXO44	ENSG00000132879	ENST00000471895	protein_coding	0	0	0	16	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	6
FBXO44	ENSG00000132879	ENST00000475435	protein_coding	0	0	0	18	1	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	3
FBXO6	ENSG00000116663	ENST00000376753	protein_coding	0	0	0	23	0	0	0	0	0	0	3	0	16	0	0	0	0	0	0	0	0	0	4
FBXO6	ENSG00000116663	ENST00000449067	protein_coding	0	0	0	19	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	7
FBXO6	ENSG00000116663	ENST00000474239	retained_intron	0	0	0	22	0	0	0	0	0	0	6	0	12	1	0	0	0	0	0	0	0	0	3
FCAMR	ENSG00000162897	ENST00000324852	protein_coding	1	0	0	6	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	2
FCAMR	ENSG00000162897	ENST00000324863	nonsense_mediated_decay	0	0	0	8	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2
FCAMR	ENSG00000162897	ENST00000400962	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
FCAMR	ENSG00000162897	ENST00000450945	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
FCAMR	ENSG00000162897	ENST00000486178	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
FCAMR	ENSG00000162897	ENST00000487149	processed_transcript	0	0	0	7	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2
FCAMR	ENSG00000162897	ENST00000488345	processed_transcript	0	0	0	7	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2
FCER1A	ENSG00000179639	ENST00000368114	protein_coding	0	0	0	5	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1
FCER1A	ENSG00000179639	ENST00000368115	protein_coding	0	0	0	12	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	1
FCER1G	ENSG00000158869	ENST00000289902	protein_coding	0	0	0	26	0	0	0	0	0	0	14	0	4	0	0	0	0	0	0	0	0	0	8
FCER1G	ENSG00000158869	ENST00000367992	protein_coding	0	1	0	25	0	0	0	0	0	0	13	0	5	0	0	0	0	1	0	0	0	0	8
FCER1G	ENSG00000158869	ENST00000490414	processed_transcript	0	0	0	26	0	0	0	0	0	0	14	0	4	0	0	0	0	0	0	0	0	0	8
FCF1P6	ENSG00000225671	ENST00000456841	processed_pseudogene	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3
FCF1P7	ENSG00000224727	ENST00000451185	processed_pseudogene	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2
FCGR1A	ENSG00000150337	ENST00000369168	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
FCGR1A	ENSG00000150337	ENST00000444948	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
FCGR1A	ENSG00000150337	ENST00000489479	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FCGR1A	ENSG00000150337	ENST00000489704	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1B	ENSG00000198019	ENST00000369178	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FCGR1B	ENSG00000198019	ENST00000369383	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FCGR1B	ENSG00000198019	ENST00000369384	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
